POS_0_9_CP,POS_10_19_CP,POS_20_29_CP,POS_30_39_CP,POS_40_49_CP,POS_50_59_CP,POS_60_69_CP,POS_70_79_CP,POS_80_89_CP,POS_90_CP,DTH_CUM_CP
44,86,87,105,109,116,97,71,84,45,44
12,5,460,228,59,56,37,9,7,0,3
43,78,112,110,88,126,74,41,21,0,7
136,468,975,229,151,121,77,62,38,19,7
61,106,127,162,99,99,52,27,6,0,5
288,572,393,519,648,638,404,191,58,20,26
118,241,249,294,296,293,201,109,70,24,14
66,128,102,106,118,116,80,47,31,8,4
91,112,159,167,143,147,94,38,23,14,9
65,120,151,148,107,97,60,24,0,0,3
102,154,134,161,187,183,145,83,46,17,4
128,254,302,299,267,298,246,96,60,39,18
119,182,286,252,216,278,245,187,117,52,24
138,224,245,256,224,138,73,35,15,0,3
144,243,249,222,221,146,80,29,14,0,3
250,295,360,452,254,253,161,96,33,7,23
117,215,261,227,249,184,154,123,86,32,35
151,223,257,308,308,281,201,106,60,24,7
82,96,130,115,93,82,49,22,12,0,3
43,80,143,198,114,110,107,58,13,5,5
33,35,26,44,37,65,71,53,22,6,5
281,320,299,412,310,294,204,117,82,27,16
139,186,252,215,193,135,73,47,30,11,7
31,62,112,124,104,95,81,30,12,5,5
108,209,161,152,186,257,229,127,44,8,7
95,141,207,256,162,152,111,37,14,5,6
117,202,530,748,553,452,269,108,28,6,20
89,144,167,160,117,71,39,13,0,0,6
47,120,197,143,177,172,121,68,42,23,11
64,66,204,139,90,91,56,21,11,0,10
110,139,107,117,151,128,132,98,32,11,7
77,91,134,128,113,130,109,63,47,21,11
124,179,248,269,209,249,204,149,78,14,32
55,77,200,185,116,120,82,46,16,7,7
29,72,93,106,87,68,56,15,26,0,0
104,138,306,252,251,198,229,162,116,46,39
113,137,261,286,198,136,81,44,16,9,7
121,141,136,225,153,127,128,79,30,11,3
274,341,396,428,450,482,287,199,78,21,19
43,39,70,98,47,59,50,36,14,0,13
158,266,252,270,303,350,198,94,34,5,10
119,174,228,270,211,197,165,69,16,0,11
125,198,198,245,216,166,165,117,59,17,22
169,249,210,242,191,239,162,91,83,26,27
170,145,321,279,150,132,134,79,19,6,3
91,141,169,228,184,141,121,94,88,63,21
119,193,207,216,224,262,145,108,36,0,2
61,107,163,119,120,196,139,97,53,19,25
145,209,217,270,237,261,177,88,30,0,8
90,156,454,145,104,77,60,28,7,0,0
47,115,101,136,148,187,205,103,44,8,9
133,222,227,167,189,104,50,16,0,0,7
69,97,105,151,74,81,70,33,12,5,12
74,95,197,152,89,60,44,14,5,0,1
80,145,147,164,148,154,95,77,57,20,14
51,98,92,103,84,101,116,86,34,6,6
56,66,100,120,96,62,38,17,7,0,3
199,241,304,376,317,281,186,109,59,10,15
198,294,290,382,370,373,242,123,76,27,23
109,215,248,238,267,315,220,84,29,7,18
55,82,107,135,105,107,91,40,14,0,6
74,149,171,223,176,194,153,96,63,21,18
121,152,198,178,164,155,93,63,30,0,6
55,79,98,73,62,46,36,22,5,0,1
67,233,101,109,114,102,81,37,10,0,4
188,245,195,265,200,217,171,85,77,36,13
110,161,365,300,166,120,122,85,42,19,13
80,156,167,212,153,231,185,115,45,11,9
107,131,93,140,124,104,62,35,5,0,2
119,170,286,286,187,202,134,98,87,41,23
578,563,683,726,579,442,246,135,71,34,13
58,92,114,119,117,161,145,71,19,5,2
163,138,149,301,206,123,109,54,17,5,2
170,202,196,275,285,260,179,90,35,7,8
208,239,104,205,218,165,106,54,16,0,1
50,94,90,141,114,142,170,79,40,0,12
97,162,215,186,197,171,113,63,36,21,11
78,156,1055,200,113,78,86,33,15,0,5
33,62,56,65,83,110,81,62,25,0,8
151,231,431,325,287,286,199,138,90,25,28
157,228,191,280,270,245,164,129,50,21,14
69,99,114,167,111,85,79,19,7,0,1
79,114,141,122,120,72,43,17,8,0,7
178,265,200,238,156,199,146,61,33,0,12
97,135,234,162,165,97,65,11,11,0,4
120,205,227,203,163,167,124,65,28,5,3
274,312,442,496,338,251,162,71,32,7,18
143,275,285,333,298,286,184,80,74,30,21
12,23,514,214,61,77,77,31,8,0,3
85,96,114,115,92,90,67,23,9,0,3
39,54,67,77,52,45,29,13,0,0,7
244,393,319,414,404,392,302,176,73,23,16
110,207,328,513,463,364,292,133,57,12,18
345,492,562,630,571,527,293,160,91,37,31
109,152,204,254,174,196,127,77,24,5,21
223,361,403,462,354,346,287,163,66,10,29
161,169,308,247,157,102,127,93,52,46,27
153,266,230,282,257,304,211,91,40,0,9
140,191,273,322,200,158,156,78,28,6,5
70,128,119,129,145,229,191,111,29,8,2
80,84,100,110,99,134,113,72,56,17,24
126,211,207,172,198,103,82,23,9,0,5
31,51,46,53,57,88,101,75,29,0,4
129,159,146,189,190,245,169,82,35,5,10
96,147,184,214,164,117,85,54,24,15,13
58,81,133,136,138,137,159,109,75,13,18
151,245,264,217,262,147,84,29,0,5,6
64,114,136,152,171,182,141,68,38,0,7
45,90,320,137,94,87,74,41,18,0,7
116,208,241,257,239,191,206,154,64,33,17
165,212,140,208,253,230,221,95,37,6,10
52,104,105,120,143,192,137,56,13,0,6
105,174,204,238,197,140,117,65,15,0,9
28,49,39,49,46,83,62,28,18,0,2
136,197,460,242,193,178,139,89,25,9,8
106,136,236,221,196,210,131,91,73,21,13
100,171,186,254,232,291,247,173,88,39,36
168,225,227,296,251,233,180,96,65,32,11
72,166,158,165,146,150,142,65,29,0,6
148,188,246,266,232,148,136,68,39,14,24
88,110,462,198,132,93,80,32,17,5,6
146,227,175,300,300,243,186,84,34,0,13
158,196,277,347,209,240,201,113,106,40,29
31,364,720,60,42,14,13,6,0,0,0
107,197,236,183,185,109,58,26,9,5,4
89,85,273,251,165,131,128,51,16,6,5
90,186,164,174,165,213,176,71,53,27,8
79,146,146,171,155,182,191,95,47,21,12
263,322,265,384,278,256,177,135,76,36,10
68,95,175,184,151,132,91,46,22,0,4
76,142,167,182,182,198,116,51,39,0,5
106,120,266,464,380,301,173,88,23,5,11
23,65,48,51,60,69,68,29,6,0,3
77,93,204,180,151,118,80,62,26,15,14
233,236,575,514,323,203,195,121,65,28,27
162,242,192,230,211,192,213,94,64,19,19
60,86,73,60,67,49,45,27,8,0,2
219,240,382,377,306,247,228,117,57,16,14
114,188,314,309,247,277,198,121,63,12,28
103,158,183,193,191,140,124,53,21,0,9
112,214,219,208,209,171,165,95,67,48,23
44,78,66,97,108,160,176,123,50,10,7
183,304,216,279,270,284,200,122,37,11,4
195,243,165,264,225,175,102,51,9,5,5
112,206,155,187,172,267,170,108,46,10,13
51,63,92,65,73,56,34,12,0,0,1
162,215,399,373,236,213,175,69,34,17,12
26,59,53,61,63,48,28,7,0,0,2
129,225,189,230,229,331,229,121,38,7,13
77,107,161,187,144,107,57,28,14,0,7
46,100,285,128,96,75,95,79,37,19,8
284,323,456,501,321,202,136,56,27,0,8
158,196,232,304,293,336,239,132,31,6,18
55,110,136,139,126,136,75,27,6,0,3
144,168,231,194,177,227,175,74,36,15,10
345,351,784,740,447,310,232,144,100,35,24
81,132,312,203,175,189,136,89,28,12,9
216,266,209,250,198,282,170,82,28,7,6
102,120,455,340,172,147,98,58,42,39,6
96,162,115,120,121,129,120,59,43,0,9
129,167,263,269,203,167,112,45,11,0,16
107,125,209,179,164,158,123,77,38,0,7
151,158,473,352,213,191,160,96,57,23,10
22,27,49,57,53,101,98,62,20,0,6
39,74,89,83,82,86,117,91,44,10,7
70,148,103,159,128,171,119,83,50,28,9
219,306,326,315,278,181,128,54,26,0,12
70,102,207,224,141,160,171,87,53,22,11
101,159,193,177,129,115,73,19,11,0,7
363,483,382,368,383,350,251,111,38,5,3
42,64,63,70,86,118,118,87,64,21,13
53,73,92,125,79,60,56,24,8,0,11
181,256,203,220,243,215,136,63,20,9,4
198,268,302,279,215,153,65,26,11,0,8
187,272,524,480,319,327,260,120,57,38,27
126,204,233,251,182,125,101,44,24,0,20
52,58,133,116,94,71,62,37,13,0,3
57,105,100,147,145,184,176,116,31,15,15
167,186,228,259,183,168,111,53,26,0,7
45,74,89,127,84,62,28,11,7,0,1
92,104,207,255,153,155,146,79,40,6,17
58,131,100,92,113,129,123,99,38,10,11
176,270,244,302,277,275,202,92,35,12,18
99,182,201,191,238,241,183,98,54,19,14
207,228,236,364,281,235,197,102,44,7,6
53,63,73,117,101,62,62,34,10,0,2
194,294,244,282,361,359,252,150,88,35,20
229,288,427,447,361,310,229,135,78,37,50
87,171,227,240,237,233,148,54,29,8,8
139,179,166,238,200,199,141,85,48,12,10
99,175,171,197,176,152,117,43,29,0,4
178,208,482,314,194,159,134,63,27,0,6
40,66,65,70,92,113,124,85,36,6,5
78,127,126,113,123,91,71,51,15,10,4
72,121,163,170,129,130,103,29,6,0,4
39,64,140,121,84,67,41,19,10,0,3
76,125,121,130,128,147,131,91,44,17,26
19,78,542,178,47,65,34,17,10,0,1
30,73,78,75,85,95,93,47,25,0,2
59,92,88,124,147,139,115,98,39,6,16
109,131,208,293,166,138,102,42,42,18,13
114,176,297,315,248,185,127,45,13,5,10
144,197,154,187,192,229,193,99,25,0,6
38,84,86,82,105,131,130,81,22,5,12
213,263,174,213,215,233,256,174,77,19,14
85,118,155,146,98,97,54,21,0,0,2
70,141,149,179,158,190,154,102,53,16,12
109,133,127,163,179,203,170,94,33,5,6
155,226,298,356,355,415,247,124,106,73,52
175,299,413,425,329,310,234,132,64,19,21
79,134,172,187,178,217,154,102,38,7,10
59,56,62,117,87,90,82,31,12,5,3
198,266,370,336,242,263,200,119,86,22,20
66,102,169,204,155,198,160,117,65,15,19
20,28,191,54,47,26,17,5,0,0,1
149,242,270,203,247,127,64,19,12,6,4
92,161,244,236,192,216,136,79,26,6,15
23,27,37,40,56,57,55,34,14,0,5
93,131,151,177,188,190,160,86,28,7,4
84,87,129,147,108,91,84,27,20,6,4
102,146,136,170,145,168,132,61,17,0,6
62,69,113,85,112,80,50,31,11,0,0
139,238,370,403,347,295,234,125,74,27,40
240,221,469,426,293,199,130,75,44,13,8
68,88,243,165,106,84,52,29,6,12,1
115,205,200,268,214,253,161,95,32,12,14
20,50,28,25,48,37,48,23,8,0,6
117,159,187,202,153,139,113,59,30,5,7
203,342,334,372,361,394,244,103,37,7,8
68,71,111,106,75,77,44,32,10,0,5
132,174,228,234,201,211,167,119,44,14,17
98,134,237,246,176,138,125,43,15,5,3
86,89,126,163,85,65,46,9,5,0,3
31,60,66,58,64,76,52,31,30,0,9
174,289,389,398,354,316,253,145,86,14,25
204,218,229,318,277,227,156,90,33,7,6
172,271,244,287,254,263,171,72,45,14,6
69,206,149,221,180,215,243,92,51,12,9
116,217,242,282,277,260,246,120,51,13,17
91,112,165,188,153,137,110,58,30,0,4
200,251,319,320,276,254,179,148,108,65,35
55,105,91,107,102,106,79,44,24,7,9
216,398,339,405,465,392,192,138,26,12,20
289,335,277,327,414,364,284,131,65,12,13
89,156,142,186,155,167,135,61,37,12,14
144,258,256,299,280,331,242,154,92,44,32
50,68,90,113,76,46,40,18,8,0,5
118,204,210,203,215,231,197,143,78,24,15
71,107,87,121,87,139,119,72,46,26,12
167,286,188,225,263,317,195,93,32,0,7
868,1106,1162,1236,1077,1024,686,390,171,66,31
35,66,71,87,115,138,142,104,36,10,10
176,213,368,376,231,218,148,51,13,10,9
140,150,299,269,154,133,99,60,34,19,16
46,151,109,115,124,115,99,60,18,5,6
87,190,292,258,222,189,133,101,78,31,29
163,183,297,303,261,235,141,65,74,36,24
69,109,120,163,116,122,111,53,40,20,17
93,125,128,159,103,86,56,17,0,0,4
40,75,88,107,101,149,88,43,26,6,9
78,184,126,148,173,199,193,112,55,20,7
92,171,201,257,215,179,153,121,65,51,17
118,151,127,152,138,107,91,53,17,0,6
56,98,103,111,95,103,97,69,38,21,12
299,230,261,313,232,243,131,89,26,11,7
320,272,222,388,354,234,90,52,23,7,3
171,233,512,459,353,270,191,84,34,8,20
146,190,401,371,252,157,136,70,22,0,4
230,259,332,394,248,157,122,56,10,0,5
55,115,202,177,149,101,85,42,38,21,9
162,167,148,197,177,172,102,64,28,17,12
38,48,166,165,80,37,37,8,0,0,1
98,145,319,242,214,246,165,86,47,12,16
18,31,55,49,57,83,91,40,8,0,2
92,108,160,156,131,130,113,92,90,45,22
157,233,267,249,217,186,123,67,45,33,12
73,144,238,338,271,286,180,78,33,11,16
59,92,167,134,91,102,65,54,29,0,5
105,157,227,258,212,186,174,107,48,17,20
86,137,171,225,188,201,130,67,21,0,10
179,248,128,197,262,266,200,113,65,35,10
92,140,213,255,180,136,120,48,15,0,8
129,190,243,271,226,193,166,88,44,9,16
103,210,166,167,223,250,213,110,34,0,7
390,459,570,590,446,348,341,241,114,34,15
56,99,98,86,103,132,94,51,30,0,2
184,229,341,362,291,289,147,88,29,10,9
50,73,46,74,82,97,79,55,12,0,3
118,216,259,311,281,380,299,172,104,20,18
86,160,138,183,160,210,129,77,27,12,8
153,217,305,371,266,200,152,71,35,6,11
82,118,175,183,137,155,120,105,42,33,20
106,139,123,131,127,117,81,32,11,0,5
136,227,313,365,304,248,199,122,82,56,33
186,329,220,265,326,422,293,101,43,6,10
140,224,253,270,237,217,166,92,30,9,8
91,148,122,141,173,210,141,80,13,0,6
116,177,236,269,227,194,152,83,30,9,14
154,157,158,160,178,148,95,54,12,0,2
149,234,215,291,302,320,267,114,43,5,10
192,236,182,260,238,300,207,119,34,6,14
197,304,437,448,353,344,189,86,34,0,9
158,199,205,229,193,200,176,78,34,0,8
111,163,127,147,191,286,231,99,33,7,7
138,229,478,359,269,242,149,87,41,7,15
371,433,253,316,461,393,267,209,68,9,8
105,135,166,213,201,192,151,90,21,0,6
34,55,78,78,104,126,76,51,18,0,6
31,57,72,68,54,92,114,82,51,23,9
187,205,186,236,233,188,191,116,36,6,9
116,156,315,276,207,126,100,53,25,8,9
167,233,284,324,262,281,238,190,77,35,20
160,191,313,276,200,157,124,85,26,0,7
111,192,116,177,205,202,201,127,61,25,16
133,185,398,322,215,234,162,89,37,7,9
55,52,90,117,102,64,45,17,10,0,1
88,229,432,304,260,306,201,115,79,25,25
113,247,175,175,264,310,253,91,32,7,3
92,148,183,189,135,122,83,45,23,6,6
110,210,182,238,275,332,203,145,85,42,17
38,67,47,58,80,60,79,50,10,0,7
156,196,256,238,220,200,136,65,32,6,9
244,344,356,327,343,295,200,124,48,8,6
173,241,271,271,304,321,243,186,114,44,25
108,141,212,258,239,252,152,63,23,9,17
139,181,207,235,192,178,112,83,57,12,28
50,60,85,70,52,33,36,17,8,0,7
145,196,258,254,244,185,88,27,8,0,7
20,52,60,51,64,81,97,41,13,0,5
141,187,278,327,195,149,89,28,11,0,4
105,194,234,307,231,261,216,132,65,31,25
205,220,319,375,215,130,105,34,9,0,8
39,96,99,119,112,104,102,38,16,5,7
93,123,283,299,175,135,74,35,12,0,15
201,182,249,353,226,159,87,37,5,0,3
135,161,179,192,185,232,153,65,32,11,13
51,95,124,185,166,202,162,77,24,0,12
209,377,420,387,402,220,133,73,33,9,16
37,70,115,80,82,114,100,51,9,0,8
117,146,206,240,204,200,149,97,77,19,21
163,224,369,316,258,258,253,152,86,26,27
78,98,92,129,88,70,51,31,32,12,4
12,48,45,52,57,67,69,47,24,5,7
61,45,68,105,59,43,47,25,10,5,4
96,127,101,180,178,93,68,58,44,52,4
33,71,56,74,94,111,96,50,32,10,11
0,676,142,5,0,0,0,0,0,0,0
101,142,146,201,203,217,152,74,31,0,5
19,27,262,108,60,33,29,11,0,0,2
135,215,246,305,272,292,163,105,45,10,7
78,106,227,205,162,145,128,41,21,7,6
182,305,412,406,365,376,218,172,74,27,32
171,258,345,309,241,236,168,130,94,39,18
73,132,158,146,170,230,160,90,45,0,13
